iter	Passed	Remaining
0	64	64282
1	71	35813
2	76	25521
3	81	20305
4	86	17117
5	90	15059
6	95	13558
7	100	12412
8	105	11564
9	109	10888
10	114	10324
11	119	9836
12	124	9440
13	128	9061
14	133	8765
15	138	8490
16	142	8263
17	148	8095
18	154	7961
19	159	7797
20	164	7649
21	168	7499
22	173	7366
23	177	7231
24	182	7121
25	188	7061
26	193	6970
27	198	6884
28	203	6810
29	208	6751
30	216	6760
31	221	6700
32	226	6623
33	230	6560
34	236	6513
35	241	6477
36	247	6430
37	252	6382
38	257	6335
39	261	6285
40	266	6240
41	271	6194
42	276	6144
43	281	6123
44	288	6121
45	293	6081
46	298	6053
47	303	6022
48	308	5981
49	312	5946
50	317	5901
51	321	5866
52	326	5832
53	330	5796
54	335	5765
55	340	5736
56	344	5701
57	349	5671
58	354	5650
59	358	5622
60	363	5596
61	368	5570
62	374	5567
63	379	5551
64	384	5535
65	389	5511
66	394	5489
67	398	5465
68	403	5438
69	407	5416
70	412	5398
71	417	5376
72	421	5354
73	426	5334
74	431	5318
75	436	5312
76	441	5293
77	446	5273
78	450	5257
79	455	5243
80	460	5225
81	465	5206
82	469	5189
83	474	5175
84	478	5155
85	483	5136
86	487	5119
87	492	5104
88	497	5091
89	502	5077
90	506	5061
91	511	5045
92	516	5036
93	520	5020
94	525	5007
95	530	4996
96	535	4980
97	539	4966
98	544	4955
99	549	4946
100	554	4935
101	560	4930
102	566	4929
103	571	4923
104	576	4917
105	582	4912
106	587	4904
107	592	4893
108	597	4887
109	603	4882
110	608	4871
111	612	4859
112	619	4861
113	624	4852
114	629	4848
115	636	4848
116	641	4839
117	646	4833
118	652	4831
119	658	4825
120	663	4823
121	669	4819
122	674	4810
123	680	4806
124	686	4807
125	691	4800
126	699	4807
127	705	4803
128	710	4798
129	716	4798
130	721	4789
131	727	4780
132	733	4780
133	738	4772
134	743	4764
135	749	4760
136	755	4759
137	761	4759
138	768	4760
139	775	4762
140	785	4784
141	795	4804
142	803	4813
143	810	4816
144	820	4836
145	829	4849
146	837	4858
147	848	4884
148	856	4890
149	866	4908
150	873	4910
151	881	4919
152	889	4922
153	897	4931
154	905	4937
155	911	4933
156	917	4925
157	923	4922
158	929	4914
159	935	4911
160	941	4907
161	947	4903
162	952	4890
163	957	4879
164	961	4868
165	966	4857
166	971	4843
167	975	4831
168	980	4819
169	985	4809
170	989	4799
171	995	4792
172	1000	4781
173	1004	4770
174	1009	4759
175	1015	4753
176	1020	4745
177	1025	4737
178	1030	4728
179	1035	4716
180	1040	4706
181	1044	4695
182	1049	4684
183	1053	4673
184	1058	4662
185	1062	4651
186	1067	4641
187	1072	4630
188	1076	4620
189	1081	4608
190	1085	4598
191	1090	4589
192	1095	4579
193	1100	4570
194	1104	4560
195	1109	4549
196	1113	4539
197	1118	4529
198	1122	4519
199	1126	4507
200	1131	4496
201	1135	4487
202	1140	4478
203	1145	4469
204	1150	4460
205	1154	4450
206	1158	4439
207	1163	4431
208	1168	4422
209	1172	4412
210	1177	4404
211	1182	4394
212	1187	4387
213	1191	4377
214	1196	4368
215	1200	4358
216	1205	4350
217	1210	4341
218	1214	4331
219	1219	4323
220	1223	4313
221	1228	4306
222	1233	4297
223	1238	4288
224	1243	4282
225	1248	4274
226	1252	4265
227	1257	4259
228	1264	4258
229	1270	4254
230	1276	4247
231	1281	4240
232	1286	4235
233	1291	4229
234	1296	4220
235	1302	4215
236	1307	4208
237	1312	4200
238	1317	4195
239	1322	4188
240	1327	4182
241	1334	4179
242	1338	4170
243	1343	4164
244	1349	4157
245	1355	4155
246	1362	4153
247	1369	4151
248	1376	4150
249	1382	4146
250	1388	4142
251	1393	4137
252	1399	4131
253	1403	4123
254	1409	4116
255	1413	4108
256	1418	4100
257	1423	4092
258	1428	4086
259	1433	4079
260	1437	4070
261	1442	4062
262	1447	4055
263	1451	4046
264	1456	4039
265	1462	4035
266	1467	4029
267	1472	4021
268	1478	4016
269	1483	4011
270	1488	4003
271	1493	3998
272	1499	3992
273	1504	3985
