,Test_index,Presentation,Question,Data_q_0.01,Data2_q_0.01,Data_q_0.2,Data2_q_0.2,Data_q_0.25,Data2_q_0.25,Data_q_0.3,Data2_q_0.3,Data_q_0.4,Data2_q_0.4,Data_q_0.5,Data2_q_0.5,Data_q_0.6,Data2_q_0.6,Data_q_0.7,Data2_q_0.7,Data_q_0.75,Data2_q_0.75,Data_q_0.8,Data2_q_0.8,Data_q_0.9,Data2_q_0.9,Data_q_0.99,Data2_q_0.99,Data_mean,Data2_mean,Data_max,Data2_max,Data_min,Data2_min,Data_median,Data2_median,data_2_amp_0,data_2_amp_1,data_2_amp_2,data_2_amp_3,data_2_amp_4,data_2_amp_5,data_2_amp_6,data_2_amp_7,data_2_amp_8,data_2_amp_9,data_2_phase_0,data_2_phase_1,data_2_phase_2,data_2_phase_3,data_2_phase_4,data_2_phase_5,data_2_phase_6,data_2_phase_7,data_2_phase_8,data_2_phase_9,data_amp_0,data_amp_1,data_amp_2,data_amp_3,data_amp_4,data_amp_5,data_amp_6,data_amp_7,data_amp_8,data_amp_9,data_phase_0,data_phase_1,data_phase_2,data_phase_3,data_phase_4,data_phase_5,data_phase_6,data_phase_7,data_phase_8,data_phase_9
0,2,3,7,-787.84,-1912.76,-273.79999999999995,-979.8,-203.0,-787.75,-154.2,-657.8,-38.39999999999995,-399.79999999999984,62.0,-107.0,135.40000000000003,116.20000000000005,207.7999999999999,421.49999999999955,232.0,541.25,257.0000000000001,703.4000000000001,307.29999999999995,1104.1,367.04999999999995,1777.6899999999996,-17.716666666666665,-114.825,390,1899,-834,-2038,62.0,-107.0,27558.0,83825.72301625415,22657.955809710416,13060.81883421473,17750.288815328313,6689.600341388836,2200.867223978117,4906.799476952512,910.1323678876656,2232.664350374844,1.5707963267948966,-0.47702077696478495,-0.8287300034470861,0.9929652237755376,0.4882802480796958,0.36654390788781044,-0.8023985144255974,-0.1479453407699827,0.33628346241055895,0.285451590952768,4252.0,15180.124349272115,4586.909431165326,1990.408037207699,3281.4827449853956,1393.988358344181,871.087157034765,1113.8008633148108,621.0666152461107,936.61352760681,1.5707963267948966,-0.6582377163794725,-0.3280281788540224,0.9999944733195167,0.793553552549432,0.7986081921998688,-0.4444734580275421,0.1345538846775531,-0.7064344394281823,0.3715641680633321
1,0,1,0,-592.44,460.39,-328.0,503.8,-294.0,511.0,-256.3,517.0,-177.39999999999998,527.6,-127.5,538.0,-53.599999999999994,548.4,15.699999999999676,561.0,58.0,567.25,85.40000000000003,575.0,191.39999999999992,592.2,332.8799999999999,618.4899999999999,-120.50416666666666,538.3583333333333,361,630,-638,456,-127.5,538.0,129206.0,3724.345136258285,390.0723408353654,756.8113843190162,225.06432097059604,121.24560690866981,224.67412542377147,520.0202141632298,422.7049249551361,224.19214136138288,1.5707963267948966,-0.1407815030566562,-0.994891406099923,0.29688044461688223,-0.943627375476328,0.9999995768888145,-0.2714828745171129,0.5074718736626508,0.09958566791637367,-0.2459692808071477,28921.0,17232.301446631107,2925.3203662172737,4448.750914908438,3253.702308054757,2079.4441743387133,3117.5393114324124,2240.341504165343,2086.6700563023887,1333.0210769438404,1.5707963267948966,0.06997597857263754,-0.516677410882517,-1.0,-0.3309868158339738,-0.20909025288136837,0.1385775881587038,0.038119386380118664,0.3011468303575774,-0.21445708507257413
2,3,3,1,-760.57,-849.93,-402.7999999999999,-616.8,-311.5,-577.0,-248.49999999999994,-520.8,-98.59999999999988,-353.4,92.5,-152.0,213.00000000000003,1.6000000000000227,343.5999999999998,118.29999999999998,393.0,196.5,441.40000000000003,297.60000000000014,536.4,485.0,656.61,621.5399999999997,18.2125,-162.1875,687,645,-814,-862,92.5,-152.0,38925.0,69638.69098813013,5539.150515898066,6754.770824894471,3517.713319780997,848.0935793786317,2425.4325778952925,2265.0008583703734,2310.8536459648612,1633.319642709226,1.5707963267948966,0.9756680546667831,-0.9771581165023444,-0.24373411768478986,1.0,-0.8724122858729668,-0.4603121798300919,-0.7997606794184031,-0.9979242093927368,0.997100769978518,4371.0,65169.834824300255,6097.439594812155,7477.540221821057,3497.022172439545,1629.1656043019973,1289.9935222261006,1532.9290446650054,2042.8433906601495,2124.9594825255995,1.5707963267948966,0.6250645720458189,0.9994582458509492,0.999695052422021,0.4998658961859631,0.8908990520893135,0.9999999999998578,0.9990734349015442,0.9991499533312963,0.8570680647145483
3,0,3,6,-397.0,-1281.71,-255.0,-120.39999999999998,-234.5,0.25,-210.3,135.3,-167.39999999999998,399.60000000000025,-134.5,678.5,-99.6,912.4000000000001,-68.80000000000007,1207.2999999999997,-48.5,1357.0,-29.799999999999983,1445.4000000000005,24.999999999999943,1734.4999999999998,138.48999999999987,2047.0,-136.40416666666667,628.725,163,2047,-437,-1463,-134.5,678.5,150894.0,116127.02430101096,22642.061717296056,18081.369897842636,18406.610433897607,8918.297691959038,4366.236205336269,4247.1727767233715,5107.282136610129,3666.0205579151193,1.5707963267948966,-0.07040713472090138,0.9395130649926899,-0.2018561812392053,-0.16364773960122014,-0.9992346380385277,-0.9978158318874175,0.07946137931191681,-0.979389039254576,0.9966389832273899,32737.0,13121.448662737628,3690.7473435151414,6046.4333433817,5236.817654293931,1930.7737888920167,1159.9170366420692,247.9291377156183,631.8346150859132,1705.7993762639305,1.5707963267948966,-0.12398231809731236,0.21131940248744674,-0.07354907524134277,-0.45460063056522815,-0.9999999931756212,0.6001037717369728,-0.4454008093731019,-0.06511035871981528,-0.30818673460469037
4,3,1,2,-280.05,-1048.83,-172.0,-956.2,-146.0,-932.25,-123.6,-918.0,-76.0,-888.4,-5.5,-857.0,72.0,-811.2,133.59999999999997,-776.1,157.25,-747.0,188.0,-716.4,223.69999999999996,-680.5,291.21999999999997,-633.1700000000001,1.6,-842.8083333333333,300,-628,-294,-1056,-5.5,-857.0,202274.0,16183.598923252464,6657.732575999494,1619.023929229342,2379.5871580221465,1512.9330254233464,1093.7536851052896,858.3233612929923,1069.158142967838,1065.290492662432,1.5707963267948966,0.12964104491346806,0.11722508042191411,-0.6013637291846217,0.6276142612565235,-0.38935348846770573,0.7447704813835442,-0.1412459706631903,1.0,0.3161980301548449,384.0,25854.516636420456,7471.105076834768,2958.141792382029,2319.272349533656,2182.2596520623574,1188.8799858457278,1202.5175972593224,1146.4572070629602,1083.8197475522702,1.5707963267948966,0.07427221571721142,0.055598994106539554,-0.13819092723742515,0.25477578897122516,0.1542257269252629,0.0270214350051135,0.3023864032110424,0.42747035150938567,0.4330713189721556
5,2,1,4,-1224.64,-458.49,-944.2,-249.99999999999997,-917.5,-230.0,-882.9,-205.6,-840.1999999999999,-132.79999999999998,-793.5,-74.0,-728.6,-25.599999999999994,-669.7,21.599999999999966,-633.0,35.0,-602.8,55.20000000000002,-528.9,87.19999999999999,-275.9900000000006,148.04999999999993,-779.5166666666667,-104.02083333333333,-241,153,-1250,-490,-793.5,-74.0,24965.0,8306.058238948997,2817.455241922193,1117.3587771282955,1209.3839689287245,855.8055956724493,335.50669556024087,1140.135637888748,1066.8486327987393,318.41883238288096,1.5707963267948966,0.13427777119607398,0.454759055388197,-0.9772508297321745,-0.9999994353822984,-0.8982129371347441,-0.300351569331119,0.9999926364000808,-0.6640765277236693,0.1986501430954388,187084.0,23379.38131503801,16656.991676646157,4929.46342208543,4184.897112907512,3160.824868040342,2235.0180320357913,1322.1333356803025,1258.4535008457538,1624.828590737383,1.5707963267948966,0.9840920445787158,-0.26802921809021313,0.5801265477121416,-0.17539987818368905,0.08214184592836243,0.3736532386338227,-0.12261090111970607,0.8960621820040817,0.11031862936518587
6,0,3,5,-200.22,-514.1,-64.6,-116.59999999999997,-48.5,-43.5,-34.3,0.10000000000000853,-13.0,99.00000000000013,14.0,193.5,35.0,326.6,68.0,497.99999999999983,82.75,597.75,96.0,675.6,133.0,933.4,168.43999999999994,1264.6899999999996,11.541666666666666,275.17083333333335,177,1417,-215,-630,14.0,193.5,66041.0,13560.797180774365,12457.556754636222,24403.331265046138,19491.34861006293,6975.952572744884,4132.117911539187,6462.139094728145,1160.7951821455554,3913.748554650198,1.5707963267948966,0.7297151767256989,0.9999999987592216,-0.19834806716068584,0.6318586348252391,0.7784637247783444,-0.6041879608668744,0.21299972535844774,-0.2963704698808011,0.003295250310304058,2770.0,12435.842004592374,2270.368290992318,2605.227985087677,2778.2108808276103,1905.384588083982,1052.4061149106747,819.0941310703032,459.97974495138203,467.5514777251964,1.5707963267948966,0.9491193603490893,0.9999999999999962,-0.07949780811398983,0.48999933952001856,0.31837684596544336,0.11915866826432252,0.2490928346305567,0.15212052948190294,0.16778114283272888
7,3,3,5,-400.0,-65.66,-266.2,141.60000000000002,-249.0,181.0,-228.79999999999998,199.0,-204.39999999999998,232.20000000000002,-173.5,269.5,-154.6,299.4,-134.0,326.29999999999995,-116.75,336.75,-103.59999999999997,357.2000000000001,-61.900000000000006,399.1,-6.0,487.21999999999997,-184.55833333333334,249.32916666666668,10,523,-419,-126,-173.5,269.5,59839.0,10043.68981088548,12131.026694346023,4262.877681869183,4585.656926367494,3691.6500436301753,2403.1765465131266,4059.3339713811843,2753.9249827075914,1723.240303206026,1.5707963267948966,0.4761940339745218,-0.125798479212226,0.03563427408069952,0.2145540481949458,0.2076308775381598,0.14743544443859927,0.19294274903935893,0.12356853985785379,0.2701134212734741,44294.0,10251.582603219103,2519.2302348238277,4906.104422762295,3008.2224331466477,2357.7947304104637,1456.9117511027582,2213.264569547213,1510.9731733754318,1341.6145864479063,1.5707963267948966,-0.45605450464219116,-0.8456565629856695,-0.44756586082415106,0.7125826643126725,0.5566224841014376,0.2858857441711644,0.3478566074123132,0.08284882952097165,0.3130166409192847
8,3,3,9,-465.49,-628.47,-189.2,-504.2,-147.25,-481.25,-124.3,-469.3,-65.79999999999998,-444.0,-20.5,-420.5,35.0,-382.2,92.89999999999995,-352.0,118.75,-338.0,147.0,-325.79999999999995,215.2,-276.6,308.04999999999995,-170.51000000000013,-23.704166666666666,-412.25,320,-157,-532,-661,-20.5,-420.5,98940.0,9172.210919899755,1525.6679657442892,4599.710899575092,2503.9167309952113,1246.1023055547,897.5365335293396,1318.1405520692288,921.1996841739478,1342.842043417354,1.5707963267948966,-0.4592868306977117,0.656730789997924,0.41712231939599576,0.11696822706817825,0.8426694504505305,0.9400322691433253,0.7492630891259247,0.4929041523023355,0.6955868839744769,5689.0,6511.255574180872,10407.798825419892,12586.147439834802,3028.3502708670007,1907.543754405418,1919.6670106082875,2176.6574191583877,1016.3269266448553,468.1548369708613,1.5707963267948966,0.7048874768007914,-0.42937107814396736,0.19278341585465764,-0.9905693943236263,0.2498670598663697,0.755570237390598,-0.34597345909793153,-0.8470681014118187,-0.8470233193173623
9,6,1,2,-165.22,-109.66,-65.19999999999999,164.8,-50.25,205.0,-25.599999999999994,245.8,-13.0,366.80000000000007,-1.0,487.5,21.80000000000001,601.6,38.29999999999998,741.9,42.5,799.75,47.0,871.8000000000001,54.0,1129.0,69.0,1459.1,-12.5375,534.2916666666666,78,1514,-185,-151,-1.0,487.5,128230.0,59021.17654098292,9446.75988874659,6539.333095208326,5273.97013459474,3661.097078048875,1404.161388390659,573.6533783532205,951.6932563632928,1865.3281686917408,1.5707963267948966,-0.9995194405977772,-0.6089504688185864,-0.9996032863055355,-0.14223846832132073,0.624432306116878,-0.9997777049396327,1.0,1.0,0.7387964498385902,3009.0,730.1199866422613,1092.1951116487496,585.054051286873,920.1781720406119,667.3683250194697,340.1478072092563,396.45847761563175,336.88535835377235,552.016567221342,1.5707963267948966,0.6546594524180429,-0.9999999999999936,0.9999979261859928,0.9554150678213891,-0.07833144140275564,0.8725124734905698,0.7726919112797429,0.9999999819176172,0.9529453823480175
